Type,Value,Year,LastValue,Rank
Developers in School in 2019,40,2019,40,2
Developers in School in 2019,42,2020,40,2
Developers in School in 2019,44,2021,42,2
Developers in School in 2019,46,2022,44,2
Developers in School in 2019,48,2023,46,2
Developers in School in 2019,50,2024,48,2
Developers in School in 2019,52,2025,50,1
Developers in School in 2019,54,2026,52,1
Developers in School in 2019,56,2027,54,1
Developers in School in 2019,58,2028,56,1
Developers in School in 2019,60,2029,58,1
Developers in School in 2019,62,2030,60,1
Developers in School in 2019,64,2031,62,1
Developers in School in 2019,66,2032,64,1
Developers in School in 2019,68,2033,66,1
Developers in School in 2019,70,2034,68,1
Developers in School in 2019,72,2035,70,1
Developers in School in 2019,74,2036,72,1
Developers in School in 2019,76,2037,74,1
Developers in School in 2019,78,2038,76,1
Developers in School in 2019,80,2039,78,1
Developers in School in 2019,82,2040,80,1
Developers in School in 2019,84,2041,82,1
Developers in School in 2019,86,2042,84,1
Developers in School in 2019,88,2043,86,1
Developers in School in 2019,90,2044,88,1
Developers in School in 2019,92,2045,90,1
Developers in School in 2019,94,2046,92,1
Developers in School in 2019,96,2047,94,1
Developers in School in 2019,98,2048,96,1
Developers in School in 2019,100,2049,98,1
Developers not in School in 2019,60,2019,60,1
Developers not in School in 2019,58,2020,60,1
Developers not in School in 2019,56,2021,58,1
Developers not in School in 2019,54,2022,56,1
Developers not in School in 2019,52,2023,54,1
Developers not in School in 2019,50,2024,52,1
Developers not in School in 2019,48,2025,50,2
Developers not in School in 2019,46,2026,48,2
Developers not in School in 2019,44,2027,46,2
Developers not in School in 2019,42,2028,44,2
Developers not in School in 2019,40,2029,42,2
Developers not in School in 2019,38,2030,40,2
Developers not in School in 2019,36,2031,38,2
Developers not in School in 2019,34,2032,36,2
Developers not in School in 2019,32,2033,34,2
Developers not in School in 2019,30,2034,32,2
Developers not in School in 2019,28,2035,30,2
Developers not in School in 2019,26,2036,28,2
Developers not in School in 2019,24,2037,26,2
Developers not in School in 2019,22,2038,24,2
Developers not in School in 2019,20,2039,22,2
Developers not in School in 2019,18,2040,20,2
Developers not in School in 2019,16,2041,18,2
Developers not in School in 2019,14,2042,16,2
Developers not in School in 2019,12,2043,14,2
Developers not in School in 2019,10,2044,12,2
Developers not in School in 2019,8,2045,10,2
Developers not in School in 2019,6,2046,8,2
Developers not in School in 2019,4,2047,6,2
Developers not in School in 2019,2,2048,4,2
Developers not in School in 2019,0,2049,2,2
